num_of_particles,fps
10039,40.606026
11794,42.90712
13354,39.527824
14836,37.08965
16162,34.320415
17410,31.829752
18580,30.265736
19672,28.24481
20725,27.102474
21700,24.912844
22675,24.971994
23650,24.363775
24867,23.219374
25732,21.919455
26488,21.053429
27208,19.986794
27928,19.728792
28648,19.40763
29332,19.181715
29944,17.757223
30628,18.025024
31276,17.650671
31888,17.18329
32536,17.406158
33148,17.018082
33724,16.219803
34300,16.003805
34876,16.015158
35579,15.944245
36267,15.735868
36998,15.830159
37643,15.190803
38288,14.978599
38933,14.932514
39578,14.679068
40223,14.530977
40825,14.193273
41427,13.975929
42029,13.836789
42631,13.722209
43233,13.4746
43777,12.978726
44019,12.835099
44110,12.729837
44201,12.807899
44299,12.975017
44900,12.963304
46188,13.093818
47384,12.727743
48580,12.468285
49776,12.282615
50880,12.072265
51984,11.866759
53088,11.692851
54107,11.39227
55119,11.222615
56131,11.027735
57143,10.792719
58155,10.604571
59167,10.457858
60002,10.261668
61014,10.1734085
61934,9.8143215
62854,9.718709
63774,9.661391
64694,9.479203
65522,9.202541
66442,9.143927
67270,9.035611
68098,8.682976
68926,8.605515
69754,8.623536
70398,8.647309
71226,7.994029
71962,7.8013945
72613,7.8338585
73441,8.001516
74177,7.988072
75005,8.035929
75741,8.076236
76477,8.024582
77213,7.8270006
77949,7.745595
78685,7.7075157
79421,7.7111816
80157,7.7308407
80808,7.6535273
81544,7.587396
82280,7.534053
83016,7.5027213
83752,7.4713964
84488,7.3939066
85040,6.985704
85684,6.7904572
86420,6.918216
87156,6.9579763
87800,6.947692
88444,6.942957
89088,6.88315
89732,6.830587
90376,6.826886
91020,6.8001213
91664,6.7985325
92308,6.7871847
92952,6.7339435
93511,6.703694
94155,6.7072196
94799,6.656348
95443,6.6260176
96087,6.5881343
96731,6.53301
97375,6.4769263
98019,6.4686546
98663,6.419271
99307,6.3771577
99951,6.3402386
