num_of_particles,fps
7744,60.139362
7744,60.051033
8152,59.7429
8624,57.757008
9104,58.656242
9952,53.618717
10864,48.79778
11616,46.10078
12336,43.744064
13008,41.25185
13552,39.043716
14000,37.439716
14532,37.008335
15050,36.336887
15512,33.417206
15988,32.648586
16450,32.43637
16898,31.686073
16940,29.930902
16940,31.67729
16940,30.848955
17010,32.02315
17330,31.970049
20385,29.467823
23064,25.493162
25770,22.674662
28353,21.123112
30690,19.606478
32904,18.301954
34995,17.384995
36963,16.557848
38808,15.655737
39603,14.898826
40398,14.7458935
41193,14.504323
41935,14.123691
42677,13.976657
44119,13.494372
45718,13.210344
47317,12.67908
48793,12.13436
50269,11.648303
51622,11.276683
52852,10.70923
54135,10.482319
54718,10.342124
55341,10.374044
56012,10.31876
56622,10.161671
57293,10.171008
57903,9.832007
58513,9.688256
59123,9.75086
59733,9.801296
60343,9.606728
60953,9.537903
61563,9.493851
62073,9.412881
62583,9.358129
63093,9.263083
63603,9.199903
63863,9.231668
64123,9.254251
64383,9.150288
64643,9.1481695
64903,9.111831
65001,9.066015
65073,8.822804
65145,8.638352
65217,8.526647
65289,8.642724
65369,8.798155
65441,8.812982
65513,8.777838
65585,8.7970295
65657,8.758856
65729,8.807356
65801,8.735245
65873,8.751753
65945,8.785117
66017,8.821743
66089,8.819222
66161,8.687421
66233,8.639545
66305,8.613652
66377,8.62619
66449,8.644096
66521,8.744748
66593,8.756309
66665,8.763981
66737,8.753074
66809,8.77652
66881,8.648187
66953,8.505715
67025,8.558258
67097,8.661126
67201,8.644656
67469,8.509405
67793,8.422794
68165,8.460601
68633,8.387485
69037,8.404332
69433,8.370451
69829,8.323852
70225,8.300693
70621,8.285822
71017,8.243101
71369,8.131302
71765,8.13461
72117,8.0482235
72469,7.9761167
72821,7.8948703
73173,7.850517
73525,7.8511033
73877,7.851265
74229,7.8414435
74581,7.8251686
74933,7.7658343
75285,7.7027397
75637,7.6963453
75989,7.5963874
76341,7.527773
76693,7.4544287
77045,7.406073
77397,7.3995886
77749,7.4569125
78101,7.3650255
78453,7.3410897
78805,7.354997
79157,7.3579683
79509,7.3112283
79861,7.3195477
80213,7.302134
80521,7.2637897
80873,7.102037
81181,7.0052357
81489,6.877689
81841,6.9212604
82193,6.9868774
82545,7.023087
82853,6.9795203
83205,6.9925056
83513,6.991987
83865,7.0224867
84173,6.9319353
84481,6.957834
84789,6.9345694
85097,6.9481835
85405,6.8605804
85713,6.8406453
86021,6.850636
86329,6.824264
86637,6.811381
86945,6.763154
87209,6.5176835
87517,6.555341
87825,6.5846167
88133,6.5364847
88441,6.581379
88749,6.6024165
89057,6.5875807
89365,6.5913587
89649,6.593969
89837,6.5609016
89949,6.512312
90061,6.462364
90125,6.508686
90125,6.5264354
90125,6.0665975
90125,5.997906
90125,6.009172
90125,6.1785398
90125,6.285947
90125,6.3649216
90125,6.4145403
90125,6.450601
90125,6.486868
90125,6.475905
90125,6.453976
90125,6.47633
90125,6.466146
90125,6.4719706
90125,6.4214416
90125,6.372816
90125,6.2726235
90225,6.2716856
90365,6.3185935
90505,6.2967477
90645,6.333781
90785,6.371051
90905,6.2253795
91045,6.182362
91185,6.256115
91325,6.2581563
91465,6.310871
91605,6.350352
91745,6.3717256
91885,6.355551
92025,6.3339124
92165,6.3242044
92305,6.296051
92445,6.3134613
92585,6.3129816
92725,6.303939
92865,6.3087525
92985,6.2001343
93105,6.1036396
93245,6.109282
93385,6.07742
93525,6.0944357
93645,6.0655065
93785,6.094717
93925,6.13178
94065,6.155611
94205,6.193219
94325,6.049144
94465,6.132515
94605,6.153334
94745,6.1564546
94885,6.1606183
95025,6.1727157
95165,6.2052217
95305,6.19868
95445,6.170233
95565,6.119139
95685,6.0804267
95825,6.067515
95965,6.084757
96085,6.0528126
96225,6.055638
96365,6.0370026
96505,6.0457444
96645,6.058134
96765,6.0208097
96885,6.0145087
97025,6.0190606
97145,5.9904056
97265,5.9702992
97405,6.000845
97525,5.9208393
97645,5.8824205
97785,5.926179
97905,5.940231
98045,5.969359
98185,5.975831
98305,5.9781446
98425,5.9622936
98545,5.9299083
98665,5.9228063
98805,5.952214
98925,5.919362
99045,5.9215426
99165,5.899067
99285,5.9066625
99405,5.874391
99525,5.8680553
99645,5.838759
99765,5.8418956
99885,5.860189
100005,5.839228
