num_of_particles,fps
2544,58.86356
2544,57.24634
2544,55.7386
2816,56.924606
3288,58.140636
3728,52.209225
4080,42.674053
4240,43.220448
4240,40.48478
4540,38.70282
4540,39.440918
4540,40.39037
4540,40.497044
4540,40.10448
4540,40.990612
4540,40.250683
5052,40.02962
5724,38.715775
6704,34.500053
7600,31.215302
8752,28.340605
9684,24.475132
10272,21.461386
10804,19.581518
11308,18.528736
11640,17.264845
11832,16.115946
12036,16.066122
12228,15.426605
12336,15.144541
12336,15.029884
12336,14.33582
12384,14.511155
12504,14.348732
12736,13.787743
13036,13.945148
13316,13.825609
13596,13.572943
13856,12.9016285
14136,13.255741
14456,14.597372
14856,17.232244
15420,18.923553
16712,18.659344
17868,17.488205
18820,15.037665
19840,14.533645
20860,14.403824
21484,13.0860615
21744,12.741701
22026,12.650914
22572,12.59975
23135,12.441825
23843,12.125137
24610,12.071741
25318,11.825628
25970,11.484028
26582,11.479899
27122,11.3821745
27473,10.340853
27863,10.038839
28253,9.670157
28895,9.600808
29565,9.4448595
30235,9.400655
30905,9.373005
31508,9.079647
32111,9.035755
32714,8.901249
33317,8.853777
33920,8.807766
34523,8.509976
35137,8.306528
35881,8.11618
36625,8.02918
37369,7.723271
38113,7.6061015
38955,7.4243345
39811,7.3134212
40560,7.206704
41309,7.0478563
42058,6.9984717
42807,6.891474
43556,6.779305
44305,6.6752777
45054,6.5324984
45935,6.4116855
46709,6.289751
47612,6.2504625
48254,6.171601
48896,6.0952563
49538,6.018781
50180,5.9512043
50754,5.8996615
51294,5.8263245
51834,5.6482315
52374,5.6819305
52914,5.6384783
53454,5.6047482
54101,5.607867
55283,5.571482
56465,5.4781575
57647,5.362906
58632,5.242219
59617,5.1319337
60602,5.016545
61587,4.9200974
62572,4.8303943
63557,4.7245803
64542,4.6272855
65527,4.5378194
66512,4.4539437
67497,4.3735886
68482,4.2910333
69270,4.238534
70058,4.158394
70846,4.098107
71634,4.016508
72422,3.941504
73210,3.8988767
73998,3.838037
74786,3.774907
75146,3.6862235
75506,3.6498942
75866,3.6192749
76226,3.5145304
76586,3.515864
76946,3.5077195
