num_of_particles,fps
5000,60.25754
5000,60.46354
7457,59.7649
12037,60.42627
15680,59.907284
19564,58.470867
23577,55.019924
27154,48.25862
30844,45.20099
34272,41.677135
37247,35.080784
40137,34.06591
42261,33.835903
42864,31.122921
43108,30.166754
43356,30.199766
43997,30.239817
44975,29.072302
45528,27.207472
45963,28.315723
46383,28.97327
46755,29.9454
47091,28.281263
47362,28.844994
47496,28.591108
47704,29.198984
47978,29.073456
48397,28.325523
48984,28.398832
50958,27.549301
54262,27.443039
56950,25.745876
59805,24.49502
62637,23.78399
65184,23.209267
67400,21.712694
69331,21.139513
71429,20.700104
73812,20.622335
76172,19.59225
78437,19.443918
78851,17.804674
79265,17.659504
79702,18.256392
80116,18.061977
80553,18.655863
80967,18.056507
81381,17.631346
81795,17.571598
82232,17.880398
82646,17.773064
83060,17.732962
83474,17.510332
83888,17.335373
84279,17.17303
84670,16.87433
85084,17.094812
85452,16.11963
85843,16.532244
86219,17.080002
86533,16.906778
86842,17.04182
87096,16.852692
87297,17.350586
87537,17.661924
87893,17.522985
88201,17.252928
88563,17.03953
89005,17.118624
89405,16.26689
89830,16.416033
90727,16.317766
92425,15.686698
94999,16.4543
97287,15.999578
99339,15.817928
101298,16.020645
101673,15.076635
102073,15.088515
102448,14.771836
102848,14.945067
103223,14.901834
103573,14.387069
103923,13.814085
104273,13.507181
104648,14.09426
105023,14.370213
105423,14.794981
105773,14.031159
106148,14.254597
106523,14.210028
106898,14.362594
107273,14.273269
107648,14.385503
107998,14.033361
108348,13.697594
108698,13.535307
109073,13.868186
109448,13.985376
109823,14.365782
110173,14.015785
110548,14.089301
110898,13.891224
111267,13.630012
111715,13.542389
112163,13.305563
112611,13.633513
113059,13.703362
113507,13.376357
113955,13.453837
114403,13.38424
114819,13.029176
115031,13.088198
115479,13.246532
115927,13.2478075
117909,13.15248
120009,13.332747
122109,13.381595
124209,13.453768
126309,13.170202
128259,12.893408
130209,12.808684
132159,12.5108595
133991,12.28324
134729,12.010616
135113,11.969665
135497,11.992791
135881,11.808412
136139,11.040408
136380,11.000268
136584,11.09621
136776,11.4428625
136927,11.619636
137038,11.294616
137124,11.29232
137208,11.348159
137292,11.443716
137369,11.273299
137446,10.849809
137523,10.887474
137600,10.666081
137670,10.284054
137754,10.846382
137831,10.843214
137915,11.047472
137992,10.694392
138069,10.606163
138125,9.190119
138195,9.368072
138272,9.734729
138356,10.5302515
138440,10.830549
138517,11.008434
138594,10.584274
138678,10.871528
138762,11.051874
138839,11.0255785
138916,10.778932
138993,10.809565
139077,11.026724
139133,9.475257
139196,9.265704
139266,9.324576
139329,9.133105
139399,9.286839
139483,10.120565
139567,10.830011
139651,11.277596
139735,11.538599
139819,11.546002
139903,11.588865
139987,11.624718
140057,10.570777
140127,9.867388
140211,10.652129
140295,11.162801
