num_of_particles,fps
5000,56.79787
5220,56.60246
7333,51.389362
9685,42.61667
11737,35.84154
13535,30.32399
15209,27.139595
16821,25.891642
18247,23.78287
19611,22.11578
20851,20.65802
22029,19.638803
23083,17.838482
24137,17.213926
25191,16.582272
26183,16.124804
27175,16.033703
28167,15.478309
29159,15.227251
30089,14.832284
30957,14.248653
31825,14.01732
32693,13.656715
33499,13.141068
34148,12.686072
34585,12.673647
34917,12.396977
35184,12.334848
35391,12.260453
35553,12.271078
35653,12.341753
35718,12.390359
35783,12.317322
35843,12.183421
35908,12.30996
35973,12.317514
36000,12.036404
36000,12.129737
36000,12.137589
36000,11.961117
36000,11.907137
36000,11.928074
36000,11.844087
36000,11.995931
36000,11.45506
36000,11.576821
36080,11.770344
36248,11.582321
36416,11.667827
36584,11.4761095
36752,11.70795
36920,11.516492
37722,11.071655
38741,11.091849
39747,11.035757
40682,10.972001
41683,10.7244835
42643,10.330329
43603,10.043787
44491,10.018955
45379,9.820652
46339,9.702826
47299,9.659844
48163,9.379065
48955,9.053287
49819,8.980046
50683,8.8682995
51547,8.766772
52411,8.656268
53275,8.521316
54067,8.433351
54931,8.306795
55699,8.242993
56467,8.022178
57235,7.9518757
58003,7.838958
58771,7.7883415
59539,7.677967
60307,7.54476
61075,7.50153
61771,7.4340787
62443,7.2026806
63043,6.998233
63715,6.8644795
64483,6.960387
65155,6.9064975
65827,6.7484107
66499,6.719686
67075,6.362747
67651,6.1142397
68323,6.23202
68995,6.328293
69667,6.2966967
70267,6.3430715
70939,6.322447
71611,6.3270593
72091,5.9531384
72763,5.9822235
73339,5.971816
74011,5.984797
74587,5.96128
75259,6.003235
75931,6.0050573
76435,5.9887094
77011,5.9647174
77587,5.968347
78163,5.8748713
78739,5.762938
79027,5.7352047
79171,5.673221
79315,5.6102247
79459,5.476965
79603,5.4087605
79747,5.3472757
79891,5.3608756
80035,5.297453
80179,5.389123
80323,5.4441314
80467,5.464101
80611,5.500281
80755,5.4676523
80899,5.4951043
81043,5.5203424
81187,5.5242267
81331,5.5235147
81451,5.224042
81595,5.2739277
81739,5.33696
81883,5.395484
82003,5.282141
82147,5.2879333
82291,5.340745
82435,5.369054
82579,5.404152
82723,5.4319525
82867,5.468097
83011,5.4791408
83155,5.4684186
83299,5.3939843
83443,5.376995
83587,5.377951
83731,5.3741336
83875,5.379045
84019,5.3079457
84139,5.2472615
84283,5.1950517
84427,5.2572675
84571,5.3200994
84715,5.3419867
84859,5.337633
85003,5.3462954
85147,5.339005
85291,5.3255796
85435,5.31358
85579,5.296559
85723,5.2893295
85867,5.253517
86011,5.2584414
86155,5.2059317
86299,5.2091746
86443,5.21773
86587,5.2009873
86731,5.209705
86875,5.2165694
87019,5.1963744
87163,5.1605153
87307,5.1489973
87451,5.142788
87595,5.1586366
87715,5.120786
87859,5.1226625
87979,5.0934424
88123,5.0836754
88243,5.0499797
88387,5.0536227
88531,5.0942583
88675,5.060829
88795,5.0435176
88915,4.8027534
89035,4.7502623
89103,4.7913475
89153,4.8208327
89203,4.7756767
89253,4.6617093
89293,4.5185227
89343,4.516433
89479,4.55494
89959,4.6528635
90439,4.6728115
90919,4.6247735
91399,4.5563455
91879,4.649473
92359,4.653136
92839,4.616997
93319,4.566753
93799,4.5585804
94279,4.6113887
94759,4.64879
95239,4.6733212
95719,4.676365
96199,4.6797957
96679,4.698691
97159,4.679478
97639,4.6767855
98119,4.649896
98599,4.642642
99079,4.5828876
99463,4.263907
99943,4.218785
100423,4.2349234
100903,4.17587
101383,4.1340055
