num_of_particles,fps
5000,59.78108
5370,55.820194
6673,53.27476
8102,45.49148
9455,40.440544
10610,34.577953
11871,34.485844
13232,30.592508
14704,27.969114
16299,26.640406
17944,25.166206
19531,22.954103
20911,20.953543
22291,20.167368
23602,18.983824
24844,18.150875
26017,17.338257
27190,16.73068
28235,16.021942
29220,15.776778
30022,15.260872
30742,14.723835
31462,14.360974
32066,13.913756
32647,13.71314
33180,13.342166
33694,13.207885
34162,13.087352
34630,12.795994
35098,12.731503
35566,12.533817
36034,12.3838005
36502,12.208855
36934,12.118994
37366,11.973241
37753,11.999734
38107,11.91845
38407,11.802986
38684,11.770056
38895,11.5795765
39061,11.450527
39214,11.440491
39340,11.454373
39436,11.292151
39500,11.196283
39500,11.108754
39500,11.039053
39500,11.117561
39500,11.132489
39500,11.205381
39500,11.1274185
39500,11.260114
39500,11.234403
39500,11.322342
39579,11.399201
40527,11.312745
41396,11.181253
42265,10.856546
43134,10.692394
43924,10.285886
44714,10.057805
45504,9.880225
46294,9.843328
47084,9.748477
47874,9.640954
48506,9.506541
49296,9.491615
50086,9.390048
50797,9.2584505
51429,9.077297
52140,9.033559
52851,8.8218565
53562,8.653057
54273,8.447727
54984,8.428848
55695,8.356445
56248,8.194833
56959,8.111195
57512,7.900599
58223,7.9688473
58855,7.735446
59329,7.2782907
59961,7.1324224
60593,7.329743
61225,7.4008193
61857,7.3731313
62410,7.3846846
63042,7.3501487
63674,7.351636
64306,7.279692
64859,7.2451415
65491,7.228833
66123,7.24046
66755,7.2023892
67387,7.1854053
67940,7.128705
68177,7.0108447
68256,6.958857
68809,6.9220276
69362,6.9287705
69915,6.8502903
70468,6.7834353
71021,6.7235055
71574,6.722561
72127,6.696989
72680,6.603025
72996,6.567537
73312,6.556436
73865,6.55889
74339,6.394695
74734,6.0014524
75208,5.847337
75784,5.9541154
76318,5.9436326
76941,6.020137
77475,6.0134478
78009,5.9478135
78632,5.9869714
79166,5.895429
79700,5.9000335
80234,5.9178557
80768,5.896827
81302,5.9056487
81836,5.8278813
82133,5.796929
82193,5.7561393
82253,5.7398357
82313,5.7401433
82373,5.7590895
82433,5.656547
82493,5.6993566
82553,5.6500144
82613,5.6592245
82663,5.5185843
82723,5.3866396
82783,5.294799
82843,5.4228773
82903,5.509661
82963,5.5878577
83023,5.593869
83083,5.5511503
83143,5.5351996
83203,5.5604153
83263,5.55333
83323,5.5480227
83383,5.5650454
83443,5.5841737
83503,5.547451
83563,5.526396
83623,5.566981
83683,5.508605
83743,5.4991846
83793,5.378596
83843,5.1299863
83903,5.109969
83953,4.936458
84013,5.035881
84073,5.0328107
84133,5.1156173
84193,5.252175
84253,5.3083906
84313,5.3806386
84373,5.4524837
84433,5.4894104
84493,5.5308366
84553,5.5653644
84613,5.609893
84673,5.501229
84733,5.493566
84783,5.351055
84843,5.2742777
84909,5.293504
85005,5.276108
85101,5.326415
85197,5.352299
85293,5.377987
85389,5.271229
85469,4.9773173
85549,4.928023
85613,4.7539577
85693,4.6323576
85773,4.5787916
85853,4.64662
85949,4.745253
86045,4.881456
86141,5.0126867
86237,5.1096697
86333,5.195911
86429,5.24716
86509,5.1810827
86605,5.2298946
86701,5.2971363
86797,5.273422
86893,5.2907715
86989,5.27929
87085,5.317385
87181,5.336629
87277,5.294627
87373,5.3082366
87469,5.323944
87565,5.366515
87661,5.3830066
87757,5.3839507
87853,5.361659
87949,5.349363
88045,5.303046
88141,5.310223
88237,5.295039
88333,5.310716
88429,5.294619
88525,5.2395444
88621,5.246257
88717,5.2393274
88813,5.2651577
88909,5.290176
89005,5.2883463
89101,5.2925177
89197,5.3252873
89293,5.3453856
89389,5.3338895
89485,5.3375707
89581,5.2813373
89677,5.2211447
89773,5.2043095
89869,5.208819
89965,5.2032666
90061,5.2086883
90157,5.2337604
90253,5.2190905
90349,5.2370524
90429,5.1422133
90509,5.078525
90605,5.070301
90701,5.062256
90797,5.1005487
90893,5.06943
90989,5.0759277
91085,5.076815
91181,5.058596
91277,5.051268
91373,5.0819244
