num_of_particles,fps
5342,59.608387
5482,59.6759
6322,59.64726
7162,59.922142
8002,59.879852
8800,55.059563
9248,56.79154
9248,56.795116
9248,58.59768
9248,59.17115
9248,59.68544
9248,55.706604
9248,52.873405
9716,53.293243
10634,51.07301
11498,47.507828
12308,44.79559
13064,40.907707
13784,39.299313
14144,38.69705
14144,33.513527
14404,36.922504
15284,36.088917
16124,34.6023
17100,33.31767
18092,31.446724
19052,29.208897
19948,27.412218
20844,27.308151
21906,25.626993
22656,24.788122
23088,24.118488
23742,24.158108
24582,24.03525
25318,23.201363
25939,22.507776
26533,21.867167
28864,21.071072
30973,19.523575
32860,17.93625
34918,17.782104
37015,16.895266
39079,15.947147
41143,15.6383705
42910,15.137879
43585,14.787874
44260,14.637696
45943,14.31645
47749,13.971117
49555,13.582527
51232,13.1437845
52780,12.250708
54160,12.129663
54700,11.655449
55280,11.525979
56056,11.269045
56773,11.076773
57457,11.131633
58141,11.075325
58768,10.942566
59395,10.853998
60680,10.8300705
62341,10.565631
64002,10.350522
65512,10.137105
67022,9.930518
68532,9.587259
70042,9.462483
71552,9.3167925
72911,9.0554085
73706,8.901382
74219,8.623363
74732,8.500804
75245,8.351063
75605,8.351572
75965,8.375914
76325,8.301764
76685,8.302242
77005,8.121384
77365,8.163951
77725,8.170468
78085,8.237323
78493,8.2303095
78963,8.20515
79449,8.160927
79911,7.9480667
80423,7.9195952
80935,7.8277793
81447,7.8457055
81959,7.778403
82407,7.5091906
82919,7.511769
83431,7.537737
83943,7.507914
84425,7.4525986
84857,7.4187803
85281,7.3941164
85649,7.406805
86017,7.3862257
86385,7.309385
86753,7.3172393
87121,7.251091
87505,7.305269
87937,7.282316
88369,7.2734904
88801,7.2998333
89233,7.2109604
89611,7.011305
90043,7.0217648
90421,6.968783
90799,6.957233
91177,6.966159
91555,6.922324
91933,6.8630843
92365,6.9151278
92743,6.896864
93121,6.9118466
93499,6.886307
93877,6.782341
94255,6.8175645
94633,6.8224673
94955,6.8075504
95179,6.7214637
95403,6.5757856
95627,6.5896235
95851,6.6043715
96075,6.5685134
96299,6.6047745
96523,6.6534224
96747,6.6596165
96971,6.662959
97195,6.6596694
97419,6.6200027
98549,6.643792
99830,6.605684
101111,6.5161934
102392,6.4432325
103673,6.3872504
104954,6.3009872
106235,6.2611437
107333,6.125192
108431,6.084383
