num_of_particles,fps
5000,58.689285
5000,60.426575
5318,58.387936
7013,58.954075
9451,53.13209
11742,42.880978
13887,38.288017
15702,33.136185
17407,31.049479
19002,29.207546
20487,26.66312
21862,25.2264
23313,22.786314
24875,21.585287
26366,20.580942
27786,20.125252
29135,18.922998
30272,17.635775
31371,17.003977
32459,16.907438
33420,16.893513
34133,16.485186
34725,16.049921
35281,15.9797
35779,15.926895
36175,15.786172
36543,15.523487
36897,15.360111
37205,15.2525835
37445,15.134213
37701,15.07828
37941,14.937901
38181,14.753087
38421,14.758309
38661,14.436667
38901,14.317668
39141,14.178489
39381,14.148316
39621,14.149104
39861,14.1392975
40101,14.124724
40341,14.077442
40500,14.14665
40500,13.844436
40500,13.496953
40500,13.712587
40500,13.770647
40500,13.384179
